unique_id,ds,y,Autoformer,LSTM,NHITS,BiTCN,DeepAR,KAN,MLP,NBEATS,PatchTST,TCN,TFT,cutoff_value,position
NVDA,2024-09-03 12:55:00-04:00,110.17,110.323006,110.51567,109.9694,110.17059,110.53806,110.40762,109.98913,109.96256,110.00879,113.74931,110.00725,110.05,4
NVDA,2024-09-03 13:00:00-04:00,110.435,110.25941,110.58618,109.972565,110.162506,110.62877,110.39241,109.98654,109.99222,110.02595,113.96642,110.003914,110.05,5
NVDA,2024-09-03 13:05:00-04:00,110.53,110.593925,110.869644,110.337616,110.36868,110.34061,110.423744,110.24905,110.4082,110.415276,113.95043,110.41139,110.435,0
NVDA,2024-09-03 13:10:00-04:00,110.27,110.82285,110.79097,110.144516,110.36914,110.290955,110.46672,110.21503,110.29687,110.40716,113.51058,110.42493,110.435,1
NVDA,2024-09-03 13:15:00-04:00,110.3,110.833954,110.83241,110.008644,110.36749,110.27071,110.48747,110.27674,110.22888,110.38343,113.88717,110.43041,110.435,2
NVDA,2024-09-03 13:20:00-04:00,110.4208,110.766914,110.87034,110.025795,110.380714,110.276405,110.48626,110.36702,110.29295,110.37571,113.937294,110.43375,110.435,3
NVDA,2024-09-03 13:25:00-04:00,110.5,110.65741,110.85978,110.01249,110.367485,110.168785,110.395134,110.38169,110.301636,110.396935,113.71498,110.43557,110.435,4
NVDA,2024-09-03 13:30:00-04:00,110.23,111.0689,110.92605,110.06867,110.36659,110.14119,110.37138,110.39742,110.26096,110.38858,113.92579,110.43678,110.435,5
NVDA,2024-09-03 13:35:00-04:00,110.395,110.4127,110.709595,110.218376,110.29052,110.244156,110.29679,110.344955,110.27068,110.263275,113.93338,110.21963,110.23,0
NVDA,2024-09-03 13:40:00-04:00,110.062,110.417656,110.6293,110.227936,110.2947,110.303085,110.32234,110.41295,110.24618,110.24423,113.50348,110.22283,110.23,1
NVDA,2024-09-03 13:45:00-04:00,109.765,110.40322,110.676834,110.20637,110.28987,110.4066,110.30917,110.50907,110.30322,110.25778,113.874435,110.225365,110.23,2
NVDA,2024-09-03 13:50:00-04:00,109.835,110.301605,110.71222,110.18337,110.3074,110.51363,110.37648,110.496666,110.274925,110.248695,113.90863,110.2269,110.23,3
NVDA,2024-09-03 13:55:00-04:00,109.585,110.22402,110.69801,110.08894,110.30995,110.50734,110.497475,110.460686,110.25331,110.2492,113.68299,110.227585,110.23,4
NVDA,2024-09-03 14:00:00-04:00,109.005,110.20105,110.76521,110.07795,110.296,110.57325,110.479164,110.52521,110.19534,110.24571,113.90936,110.22799,110.23,5
NVDA,2024-09-03 14:05:00-04:00,108.732,109.1205,109.436935,109.09025,109.34647,109.02695,109.65577,109.19739,109.05977,109.05026,113.63712,109.07288,109.005,0
NVDA,2024-09-03 14:10:00-04:00,108.84,109.0791,109.34771,109.07754,109.3635,109.18497,109.619446,109.17644,108.971344,108.99374,113.169586,109.12823,109.005,1
NVDA,2024-09-03 14:15:00-04:00,108.715,108.919945,109.421555,109.11675,109.356895,109.373085,109.606476,109.24389,108.90534,108.97555,113.55385,109.18414,109.005,2
NVDA,2024-09-03 14:20:00-04:00,108.4302,108.84478,109.44687,109.142204,109.35042,109.52335,109.65574,109.27671,108.75002,108.97525,113.61377,109.21934,109.005,3
